Key,Description,Standard,JP
SAY.gameLocalization.1.,,*strange sound*,*奇妙な音*
SAY.gameLocalization.4.Anne,,"The voices, again... oh, nooo!",また、あの声が… やめてぇええ！
SAY.gameLocalization.9.Mysterious voice,,Concerned with the things around yourself?,周りの物で気になるものはあるかい？
SAY.gameLocalization.109.Mysterious voice,,"Try pressing the ""E key"" to know more about it or active some stuff.","""B""ボタンを押して詳しく調べることができるぞ。"
SAY.gameLocalization.66.Mysterious voice,,"If you can figure out what an E key is, ahahah.",まぁ、Bボタンってのがなにかわかればいいな（笑）
SAY.gameLocalization.65.,,*strange sound*,*奇妙な音*
SAY.gameLocalization.64.Anne,,"Stop it, stop it NOW! Who are you?",やめて、やめてってば！誰なの？
SAY.gameLocalization.63.Mysterious voice,,It's so damn dark in here isn't it?,この部屋めっちゃ暗いな。
SAY.gameLocalization.62.Mysterious voice,,"Press the ""spacebar"" to light your little candle. She will be the only thing you can trust now, hopefully she will show you the truth behind everything in this mansion.","""R1""ボタンを押してロウソクを照らしてみてくれ。少し心もとないかもしれないが、真実を見せてくれるだろう。"
SAY.gameLocalization.61.Mysterious voice,,"But after all, she is just a candle, so make sure not to use too much or else you will find yourself alone in the middle of no where... hehe.",だが所詮ロウソクだ、使いすぎたら当然おさらばだ。だから気をつけて使うんだな。
SAY.gameLocalization.60.,,*strange sound*,*奇妙な音*
SAY.gameLocalization.59.Anne,,"Stop talkng in my head, please i beg you...",もう頭の中に話しかけないで、お願いだから…
SAY.gameLocalization.58.Mysterious voice,,Wow that hole is massive! It seems like the only way to go past this is to climb up that bookshelf. ,でっけぇ穴だな！ここを通るには本棚の上を渡るしかなさそうだな。
SAY.gameLocalization.57.Mysterious voice,,"Try pressing “E Key”, this time in front of that bookshelf.","本棚の前で""B""ボタンを押してみな。"
SAY.gameLocalization.111.Mysterious voice,,"Some bookshelf will let you climb up but some will...Never mind, let`s keep this a surprise, hehe.",本棚によっては登れることがある。まぁ時にはやつらが…　いや、これはサプライズにとっておこう（笑）
SAY.gameLocalization.56.,,*strange sound*,*奇妙な音*
SAY.gameLocalization.55.Anne,,"The voices, again... oh, no! Stop it, stop it NOW. Who the hell are you?",またこの声…もういい加減にして！誰なのよ…
SAY.gameLocalization.54.Mysterious voice,,"That`s a very cool lantern, indeed! Press the “shift key” to change with the candle.","かっこいいランタンだな！""L1""ボタンを押してロウソクと交換してみようぜ。"
SAY.gameLocalization.53.Mysterious voice,,"You can use it the same way as the candle by pressing the “Space bar” but with this one, you can shine it up and downwards too by pressing the ""W"" and ""S"" key!","ロウソクと同じで、""R1""を押すことで使えるんだが、こいつの場合は""右スティック""で明かりを上下に向けることができるぞ！"
SAY.gameLocalization.112.Mysterious voice,,"The latter sounds somuch FUN isn`t it! Burn baby, burn!",こいつを使えば化け物たちも燃やし尽くせるぜ！ぜーんぶ燃やしちまえ！
SAY.gameLocalization.52.,,*strange sound*,*奇妙な音*
SAY.gameLocalization.51.Anne,,"Stop it, stop it NOW. Who are you?",やめて、やめてってば！誰なの？
SAY.gameLocalization.50.Mysterious voice,,"Yay! A checkpoint! Get more excited little girl, if you check this by pressing the“E Key”, you can get new candles and also start from this point when you get overwhelmed by the darkness and...","おぉ！チェックポイントじゃないか！喜べ嬢ちゃん、""B""ボタンで調べればロウソクを補充できるし、万が一闇に飲まれちまってもまたここから…"
SAY.gameLocalization.49.Mysterious voice,,...oopsies.,おっと…喋りすぎたかな。
SAY.gameLocalization.47.Mysterious voice,,Anyway...,とにかく…
SAY.gameLocalization.46.Mysterious voice,,...the sound will let you know that you`ve checked it or not so be careful with it.,…調べたら音がなるから気をつけたほうがいいぜ。
SAY.gameLocalization.43.,,This is a blue lever,またレバー…今回は青いの。
SAY.gameLocalization.42.,,This is a yellow lever,今度は黄色？何個あるの？
SAY.gameLocalization.41.,,This is a red lever,赤い、レバー？なにかおきたのかな…
SAY.gameLocalization.73.,,Mom used to lit the fireplace with 3 pieces of wood... ,ママはいつも３つの薪で暖炉をつけてたはず…
SAY.gameLocalization.74.,,I need it lit so,早く火をつけてあの子を追い払わないと…
 I can scare away the cat and get its object...,,,
SAY.gameLocalization.77.,,F-found one! ,い、一個あった！
SAY.gameLocalization.84.,,mmm... here says I have to put the right numbers.,んん…番号を当てればいいのかな？
SAY.gameLocalization.326.,,Maybe...,多分…
MENU.gameLocalization.274,,0,
MENU.gameLocalization.273,,1,
MENU.gameLocalization.272,,2,
MENU.gameLocalization.271,,3,
MENU.gameLocalization.270,,4,
MENU.gameLocalization.299,,5,
MENU.gameLocalization.269,,6,
MENU.gameLocalization.300,,7,
MENU.gameLocalization.268,,8,
MENU.gameLocalization.327,,9,
SAY.gameLocalization.325.,,I-it's just a painting...,ただの…絵だよね…
SAY.gameLocalization.114.,,*strange sound*,*奇妙な音*
SAY.gameLocalization.118.Mysterious voice,,"Oh, just a reminder, be careful with those flying books...",あ、忠告なんだが、ここらのそらとぶ本には気をつけろよ…
SAY.gameLocalization.120.Anne,,What? Books don`t fly though!,え？本は飛ばないもん！
SAY.gameLocalization.238.Mysterious voice,,Well you saw those lamps try attacking you right? Don`t   believe with thosecommon sense in this house.,ランプとかが襲ってきただろ？ここの中では常識なんて捨てちまいな。
SAY.gameLocalization.96.Anne,,"Weep, weep, snifle...",えーん、えーん、グスっ…
SAY.gameLocalization.97.Anne,,"Asuka... don't leave me alone... where are you, Asuka?",アスカ…私を一人にしないで…どこにいるの、アスカ？
SAY.gameLocalization.98.Anne,,You are my only and best friend... *sniffle* i'm so lonely...,私の唯一の親友だと思ってたのに…グスっ、一人は寂しいよ…
SAY.gameLocalization.99.Anne,,I'm scared... {i}They{/i} are going to come again...,怖いよ… {i}あれ{/i}がまた来ちゃうよ…
SAY.gameLocalization.100.Anne,,You are such a meanie! You know I can't sleep without you...,もう！アスカのいじわる！あなたがいないと眠れないの知ってるくせに…
SAY.gameLocalization.101.Anne,,"We're the ""Awesome Sister of Justice""! Remember, Asuka?\nWe will win believing in the magic of our heart, like Mahou Shojo always says!","私達は二人で""正義の姉妹""なんだから。覚えてないの？二人でいればどんな敵も怖くないって魔法少女たちも言ってたじゃない。"
SAY.gameLocalization.239.Anne,,"If you are going to play hide and seek , I wiil not give up until I find you...!",あ、もしかしてかくれんぼなの？もしそうなら絶対見つけるわ…！
SAY.gameLocalization.103.Anne,,"Wait for me Asuka, i will save you now... my precious little friend!",待ってなさいアスカ、絶対探し出して見せるわ…私の大切な小さな友達！
SAY.gameLocalization.104.Anne,,...,…
SAY.gameLocalization.105.Mysterious voice,,Hey little girl! It seems like {i}they{/i} started moving again.,やぁ嬢ちゃん！どうやら {i}あれ{/i}がまた動き出したみたいだぜ。
SAY.gameLocalization.106.Anne,,Ahh! What is happening...?,うっ..！なにがおきてるの…？
SAY.gameLocalization.107.Mysterious voice,,"What is going to happen you say? Ahah, just some interesting adventure of finding your precious little doll.",何がおきるってか？そりゃあ、楽しい楽しい人形探しの旅だろうさ。
SAY.gameLocalization.207.,,*{i}Strange sound{/i}*,*{i}奇妙な音{/i}*
SAY.gameLocalization.208.,,{w}A-a lever...? {w=2},{w}レ、レバー...? {w=2}
SAY.gameLocalization.205.,,I wonder what it does... ,なにか変わったのかな…?
MENU.gameLocalization.170,,0,
MENU.gameLocalization.171,,1,
MENU.gameLocalization.172,,2,
MENU.gameLocalization.173,,3,
MENU.gameLocalization.174,,4,
MENU.gameLocalization.175,,5,
MENU.gameLocalization.179,,6,
MENU.gameLocalization.176,,7,
MENU.gameLocalization.177,,8,
MENU.gameLocalization.178,,9,
MENU.gameLocalization.152,,0,
MENU.gameLocalization.153,,1,
MENU.gameLocalization.154,,2,
MENU.gameLocalization.155,,3,
MENU.gameLocalization.127,,4,
MENU.gameLocalization.157,,5,
MENU.gameLocalization.180,,6,
MENU.gameLocalization.158,,7,
MENU.gameLocalization.159,,8,
MENU.gameLocalization.160,,9,
MENU.gameLocalization.209,,0,
MENU.gameLocalization.144,,1,
MENU.gameLocalization.145,,2,
MENU.gameLocalization.146,,3,
MENU.gameLocalization.147,,4,
MENU.gameLocalization.150,,5,
MENU.gameLocalization.117,,6,
MENU.gameLocalization.148,,7,
MENU.gameLocalization.149,,8,
MENU.gameLocalization.151,,9,
SAY.gameLocalization.196.,,Mmm... there is something written in here. ,んん？なにか書いてある…
SAY.gameLocalization.197.,,"""Full moon + Rubbit = Firewood""","""まんげつ+うさぎ＝薪"""
SAY.gameLocalization.211.,,Better think hard little girl.,これは頭使いそうだな、嬢ちゃん！
SAY.gameLocalization.199.,,"I hate riddles, they are so boooooring.",なぞなぞ苦手なのに、つまんなーい。
SAY.gameLocalization.227.,,(I believed that I can do fighting from the moon when I was little. I`m a big girlnow!),（昔はお月様まで飛べると思ってたなぁ。もう成長したもんね！）
SAY.gameLocalization.231.,,"Ay! You got it, little girl! Here`s the wood.",お！正解だぞ！これをくれてやる。
SAY.gameLocalization.221.,,(What is this? It doesn`t look too cute...but I like the colours!),（なんだろうこれ？あまり可愛くはないけど…色が鮮やかだわ。){w}{w=0.1}
SAY.gameLocalization.222.,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！{w}{w=0.1}
SAY.gameLocalization.217.,,(I always dreamt of going to the moon with mommy...),(ママとお月様に行く夢をよく見てたなぁ...){w}{w=0.1}
SAY.gameLocalization.218.,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！{w}{w=0.1}
SAY.gameLocalization.213.,,(This flower looks like the one that daddy gave to mommy on her birthday. Itlooks so cute.),(このお花パパがママに昔あげてたのに似てる。すごくかわいいなぁ。) {w}{w=0.1}
SAY.gameLocalization.214.,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！{w}{w=0.1}
SAY.gameLocalization.236.,,“486”. Is there somewhere to enter some numbers?,"""486""…なんの数字だろうこれ…？"
SAY.gameLocalization.241.Anne,,?!...,?!...
SAY.gameLocalization.124.Tofu,,"Woof! grrrrr, woof woof!",ワン！ガルルルルゥ、ワン！
SAY.gameLocalization.128.Anne,,Don`t hurt me anymore!,もう私を傷つけないで！
SAY.gameLocalization.290.,,*{i}Strange sound{/i}*,*{i}奇妙な音{/i}*
SAY.gameLocalization.297.,,{w}A-a lever...? {w=2},{w}レ、レバー...? {w=2}
SAY.gameLocalization.288.,,I wonder what it does... ,なにか変わったのかな…?
MENU.gameLocalization.264,,0,
MENU.gameLocalization.263,,1,
MENU.gameLocalization.262,,2,
MENU.gameLocalization.261,,3,
MENU.gameLocalization.260,,4,
MENU.gameLocalization.259,,5,
MENU.gameLocalization.258,,6,
MENU.gameLocalization.257,,7,
MENU.gameLocalization.256,,8,
MENU.gameLocalization.255,,9,
MENU.gameLocalization.282,,0,
MENU.gameLocalization.281,,1,
MENU.gameLocalization.280,,2,
MENU.gameLocalization.279,,3,
MENU.gameLocalization.295,,4,
MENU.gameLocalization.278,,5,
MENU.gameLocalization.267,,6,
MENU.gameLocalization.277,,7,
MENU.gameLocalization.276,,8,
MENU.gameLocalization.275,,9,
MENU.gameLocalization.298,,0,
MENU.gameLocalization.294,,1,
MENU.gameLocalization.293,,2,
MENU.gameLocalization.292,,3,
MENU.gameLocalization.291,,4,
MENU.gameLocalization.284,,5,
MENU.gameLocalization.296,,6,
MENU.gameLocalization.286,,7,
MENU.gameLocalization.285,,8,
MENU.gameLocalization.283,,9,
SAY.gameLocalization.304.,,Mmm... there is something written in here. ,んん？なにか書いてある…
SAY.gameLocalization.303.,,"""Full moon + Rubbit = Firewood""","""まんげつ+うさぎ＝薪"""
SAY.gameLocalization.320.,,Better think hard little girl.,これは頭使いそうだな、嬢ちゃん！
SAY.gameLocalization.301.,,"I hate riddles, they are so boooooring.",なぞなぞ苦手なのに、つまんなーい。
SAY.gameLocalization.310.,,(I believed that I can do fighting from the moon when I was little. I`m a big girlnow!),（昔はお月様まで飛べると思ってたなぁ。もう成長したもんね！）
SAY.gameLocalization.307.,,"Ay! You got it, little girl! Here`s the wood.",お！正解だぞ！これをくれてやる。
SAY.gameLocalization.313.,,(What is this? It doesn`t look too cute...but I like the colours!),（なんだろうこれ？あまり可愛くはないけど…色が鮮やかだわ。){w}{w=0.1}
SAY.gameLocalization.312.,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！{w}{w=0.1}
SAY.gameLocalization.316.,,(I always dreamt of going to the moon with mommy...),(ママとお月様に行く夢をよく見てたなぁ...){w}{w=0.1}
SAY.gameLocalization.315.,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！{w}{w=0.1}
SAY.gameLocalization.319.,,(This flower looks like the one that daddy gave to mommy on her birthday. Itlooks so cute.),(このお花パパがママに昔あげてたのに似てる。すごくかわいいなぁ。) {w}{w=0.1}
SAY.gameLocalization.318.,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！{w}{w=0.1}
SAY.gameLocalization.331.,,Ahh...,んっ…！
SAY.gameLocalization.332.,,...Meow!!,...にゃあ！
SAY.gameLocalization.333.,,Please don`t come near me...!,私から離れて...！
SAY.gameLocalization.329.,,“486”. Is there somewhere to enter some numbers?,
SAY.gameLocalization.128.,,Don`t hurt me anymore!,もう私を傷つけないで！
SAY.gameLocalization.124.,,"Woof! grrrrr, woof woof!",ワン！ガルルルルゥ、ワン！
CHARACTER.Anne,,Anne,アン
SAY.gameLocalization.66.,,"If you can figure out what an E key is, ahahah.",まぁ、Bボタンってのがなにかわかればいいな（笑）
SAY.gameLocalization.47.,,Anyway...,とにかく…
SAY.gameLocalization.9.,,Concerned with the things around yourself?,周りの物で気になるものはあるかい？
SAY.gameLocalization.4.,,"The voices, again... oh, nooo!",また、あの声が… やめてぇええ！
SAY.gameLocalization.46.,,...the sound will let you knowthat you`ve checked it or not so be careful with it.,…調べたら音がなるから気をつけたほうがいいぜ。
SAY.gameLocalization.49.,,...oopsies.,おっと…喋りすぎたかな。
SAY.gameLocalization.50.,,"Yay! A checkpoint! Get more excited little girl, if you check this by pressing the“E Key”, you can get new candles and also start from this point when you getoverwhelmed by darkness and...","おぉ！チェックポイントじゃないか！喜べ嬢ちゃん、""B""ボタンで調べればロウソクを補充できるし、万が一闇に飲まれちまってもまたここから…"
SAY.gameLocalization.51.,,"Stop it, stop it NOW. Who are you?",やめて、やめてってば！誰なの？
SAY.gameLocalization.53.,,"You can use it the same way as the candle by pressing the “Space bar”but with this one, you can shine it up and downwards too!","ロウソクと同じで、""R1""を押すことで使えるんだが、こいつの場合は""右スティック""で明かりを上下に向けることができるぞ！"
SAY.gameLocalization.54.,,"That`s a very cool lantern, indeed! Press the “shift key” to change with thecandle.","かっこいいランタンだな！""L1""ボタンを押してロウソクと交換してみようぜ。"
SAY.gameLocalization.55.,,"The voices, again... oh, no! Stop it, stop it NOW. Who the hell are you?",またこの声…もういい加減にして！誰なのよ…
SAY.gameLocalization.57.,,"Try pressing “E   Key”, this time in front of that bookshelf.","本棚の前で""B""ボタンを押してみな。"
SAY.gameLocalization.58.,,Wow that hole is massive! It seems like the only way to go past this is to climbup that bookshelf. ,でっけぇ穴だな！ここを通るには本棚の上を渡るしかなさそうだな。
SAY.gameLocalization.59.,,"Stop talkng in my ead, please i beg you...",もう頭の中に話しかけないで、お願いだから…
SAY.gameLocalization.61.,,"But after all, she is just a candle, so make sure not to use too much or else you will find yourself alone in the middle of no where... hehe.",だが所詮ロウソクだ、使いすぎたら当然おさらばだ。だから気をつけて使うんだな。
SAY.gameLocalization.62.,,"Press ""spacebar"" to light your little candle. she will be the only thing you can trust now, hopefully she will show you the truth.","Press ""R1"" button to light your little candle. She will be the only thing you can trust now, hopefully she will show you the truth."
SAY.gameLocalization.63.,,It's so damn dark in here isn't it?,この部屋めっちゃ暗いな。
SAY.gameLocalization.64.,,"Stop it, stop it NOW! Who are you?",やめて、やめてってば！誰なの？
SAY.gameLocalization.238.,,Well you saw those lamps try attacking you right? Don`t   believe with thosecommon sense in this house.,ランプとかが襲ってきただろ？ここの中では常識なんて捨てちまいな。
SAY.gameLocalization.120.,,What? Books don`t fly though!,え？本は飛ばないもん！
SAY.gameLocalization.112.,,"The latter sounds somuch FUN isn`t it! Burn baby, burn!",
SAY.gameLocalization.107.,,"What is going to happen you say? Ahah, just some interesting adventure of finding your precious little dool.",何がおきるってか？そりゃあ、楽しい楽しい人形探しの旅だろうさ。
SAY.gameLocalization.101.,,"We're the ""AwesomeSister of Justice""! Remember, Asuka?\nWe will win beliving in the magic of our heart, like mahout shojo always says!","私達は二人で""正義の姉妹""なんだから。覚えてないの？二人でいればどんな敵も怖くないって魔法少女たちも言ってたじゃない。"
SAY.gameLocalization.118.,,"Oh, just a reminder, be careful with those flying books...",あ、忠告なんだが、ここらのそらとぶ本には気をつけろよ…
SAY.gameLocalization.111.,,"Some bookshelf will let you climb up but some will...Never mind, let`s keep thisa surprise, hehe.",本棚によっては登れることがある。まぁ時にはやつらが…　いや、これはサプライズにとっておこう（笑）
SAY.gameLocalization.109.,,"Try pressing the ""E key"" to know more about it or active some stuff.","""B""ボタンを押して詳しく調べることができるぞ。"
SAY.gameLocalization.106.,,Ahh! What is happening...?,うっ..！なにがおきてるの…？
SAY.gameLocalization.105.,,Hey little girl! It seems like {i}they{/i} started moving again.,やぁ嬢ちゃん！どうやら {i}あれ{/i}がまた動き出したみたいだぜ。
SAY.gameLocalization.104.,,...,…
SAY.gameLocalization.103.,,"Wait for me Asuka, i will save you now... my precious little friend!",待ってなさいアスカ、絶対探し出して見せるわ…私の大切な小さな友達！
SAY.gameLocalization.239.,,"If you are going to play hide and seek , I wiil not give up until I find you...!",あ、もしかしてかくれんぼなの？もしそうなら絶対見つけるわ…！
SAY.gameLocalization.100.,,You are such a meanie! You know I can't sleep without you...,もう！アスカのいじわる！あなたがいないと眠れないの知ってるくせに…
SAY.gameLocalization.99.,,I'm scared... {i}They{/i} are going to come again...,怖いよ… {i}あれ{/i}がまた来ちゃうよ…
SAY.gameLocalization.98.,,You are my only and best friend... *sniffle* i'm so lonely...,私の唯一の親友だと思ってたのに…グスっ、一人は寂しいよ…
SAY.gameLocalization.97.,,"Asuka... don't leave me alone... where are you, Asuka?",アスカ…私を一人にしないで…どこにいるの、アスカ？
SAY.gameLocalization.96.,,"Weep, weep, snifle...",えーん、えーん、グスっ…
SAY.gameLocalization.241.,,?!...,?!...
CHARACTER.Mysterious voice,,Mysterious voice,見知らぬ声
CHARACTER.Tofu,,Tofu,豆腐
